Line#,Hits,Time,PerHit,%Time,iter1(10-18),iter2(20-27)
Timer unit,,,,,1e-07 s,1e-07 s
Total time,,,,,2.78e-05 s,1.99e-05 s
    10,,,,,,                                                         
    11,1,70.0,70.0,25.2,,
    12,,,,,,
    13,1,75.0,75.0,27.0,,  
    14,,,,,,
    15,9,39.0,4.3,14.0,,
    16,8,90.0,11.2,32.4,,
    17,,,,,,  
    18,1,4.0,4.0,1.4,,
    19,,,,,,
    20,,,,,,
    21,,,,,,
    22,1,16.0,16.0,8.0,,  
    23,,,,,,  
    24,9,36.0,4.0,18.1,,  
    25,8,52.0,6.5,26.1,,  
    26,,,,,,  
    27,1,95.0,95.0,47.7,,
